localizacion,precio,habitaciones,espacio,planta
"Piso en Zona San José - Varela, Cádiz",900€,3,97,Planta 1ª exterior sin ascensor
"Piso en Zurbaran, Zona Laguna, Cádiz",900€,3,90,Planta 11ª exterior con ascensor
"Piso en Centro Histórico - Plaza España, Cádiz",900€,3,85,Planta 5ª exterior con ascensor
"Piso en calle de la Rosa, La Caleta - La Viña, Cádiz",1.200€,3,100,Planta 1ª exterior sin ascensor
"Piso en calle Mesón, 9, Ayuntamiento - Catedral, Cádiz",1.200€,3,80,Planta 2ª exterior sin ascensor
"Piso en alameda Apodaca, Mentidero - Teatro Falla - Alameda, Cádiz",1.100€,3,100,Planta 1ª exterior sin ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",1.100€,3,90,Bajo exterior sin ascensor
"Piso en Zona San José - Varela, Cádiz",990€,3,100,Planta 3ª interior con ascensor
"Piso en Playa Stª Mª del Mar, Cádiz",1.200€,3,97,Planta 3ª exterior con ascensor
"Piso en paseo Marítimo, Playa Victoria - Paseo Marítimo, Cádiz",1.200€,3,89,Planta 8ª exterior con ascensor
"Piso en plaza Jesús Nazareno, La Caleta - La Viña, Cádiz",950€,3,86,Planta 3ª exterior con ascensor
"Piso en plaza de Bécquer, Zona Laguna, Cádiz",900€,4,120,Planta 2ª exterior con ascensor
"Piso en calle Velázquez, 15, Zona Laguna, Cádiz",950€,3,85,Planta 3ª exterior con ascensor
"Piso en La Caleta - La Viña, Cádiz",1.100€,4,98,Planta 2ª exterior sin ascensor
"Piso en avenida Marconi, 30, Zona Laguna, Cádiz",1.000€,4,80,Planta 3ª exterior sin ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",1.200€,3,94,Planta 2ª exterior con ascensor
"Piso en Av. Periodista Beatriz Cienfuegos, 8, Playa Victoria - Paseo Marítimo, Cádiz",1.150€,3,102,Planta 1ª exterior con ascensor
"Piso en avenida José León de Carranza, 18, Playa Victoria - Paseo Marítimo, Cádiz",1.050€,3,60,Planta 1ª exterior con ascensor
"Piso en plaza Topete, 9, Centro Histórico - Plaza España, Cádiz",1.200€,3,95,Planta 3ª exterior sin ascensor
"Piso en Playa Stª Mª del Mar, Cádiz",900€,3,75,Planta 1ª exterior con ascensor
"Piso en plaza jerez de la frontera, 6, Cortadura - Zona Franca, Cádiz",1.000€,3,95,Planta 6ª exterior con ascensor
"Piso en calle Portería de Capuchinos, 5, La Caleta - La Viña, Cádiz",1.200€,3,85,Planta 2ª exterior sin ascensor
"Piso en Zona San José - Varela, Cádiz",1.100€,4,143,Planta 6ª exterior con ascensor
"Piso en La Caleta - La Viña, Cádiz",900€,3,130,Bajo exterior con ascensor
"Piso en calle Santo Tomás, Zona San José - Varela, Cádiz",1.200€,3,98,Planta 1ª exterior con ascensor
"Piso en Playa Victoria - Paseo Marítimo, Cádiz",900€,3,100,Planta 3ª exterior con ascensor
"Piso en calle Fernández Ballesteros, 23, Zona San José - Varela, Cádiz",1.200€,3,105,Planta 7ª exterior con ascensor
"Piso en plaza de Bécquer, 4, Zona Laguna, Cádiz",950€,3,105,Planta 10ª exterior con ascensor
"Piso en avenida de la Bahia, 29, La Paz - Segunda Aguada - Loreto, Cádiz",1.200€,3,100,Planta 11ª exterior con ascensor
"Piso en calle Arricruz, 7, La Caleta - La Viña, Cádiz",900€,3,78,Bajo exterior sin ascensor
"Piso en calle Amor Brujo, 7, Zona San José - Varela, Cádiz",1.000€,3,60,Planta 1ª exterior con ascensor
"Piso en paseo Marítimo, 23, Playa Victoria - Paseo Marítimo, Cádiz",1.000€,3,80,Planta 1ª exterior con ascensor
"Piso en Maria Auxiliadora, 6, Zona San José - Varela, Cádiz",1.000€,3,115,Planta 2ª exterior sin ascensor
"Piso en calle Fernández Ballesteros, 13, Zona San José - Varela, Cádiz",900€,3,86,Planta 3ª exterior sin ascensor
"Piso en calle cruz roja española, 10, Playa Victoria - Paseo Marítimo, Cádiz",900€,3,100,Bajo exterior sin ascensor
"Piso en calle Cristóbal Colón, 1, Centro Histórico - Plaza España, Cádiz",1.150€,3,122,Planta 2ª exterior con ascensor
"Piso en calle Cruz Roja Española, 11, Playa Victoria - Paseo Marítimo, Cádiz",1.100€,3,77,Planta 7ª exterior con ascensor
"Piso en avenida Alcalde Manuel de la Pinta, 9, La Paz - Segunda Aguada - Loreto, Cádiz",1.200€,3,95,Planta 1ª exterior con ascensor
"Piso en calle Marqués del Real Tesoro, 3, Centro Histórico - Plaza España, Cádiz",1.200€,3,110,Bajo exterior sin ascensor
"Piso en Mentidero - Teatro Falla - Alameda, Cádiz",1.000€,5,121,Bajo exterior sin ascensor
"Piso en La Caleta - La Viña, Cádiz",1.200€,3,120,Planta 3ª exterior sin ascensor
"Piso en Zona Laguna, Cádiz",950€,3,90,Planta 3ª exterior con ascensor
"Piso en calle Ciudad de Santander, 4 n, Zona San José - Varela, Cádiz",1.000€,3,90,Planta 3ª exterior con ascensor
"Piso en mateo de alba, 6, La Caleta - La Viña, Cádiz",1.000€,3,80,Planta 2ª exterior sin ascensor
"Piso en calle Bendición de Dios, 18 1 izd , Mentidero - Teatro Falla - Alameda, Cádiz",1.100€,4,130,Planta 1ª interior sin ascensor
"Piso en calle Drago, 1, Zona San José - Varela, Cádiz",1.050€,3,80,Planta 1ª exterior con ascensor
"Piso en calle Carmen Coronada, 5, Mentidero - Teatro Falla - Alameda, Cádiz",900€,3,130,Bajo interior sin ascensor
"Piso en calle Granja San Ildefonso, 2, Playa Stª Mª del Mar, Cádiz",1.000€,3,95,Planta 9ª exterior con ascensor
"Piso en Cristo de la Misericordia, 11, La Caleta - La Viña, Cádiz",900€,3,90,Planta 1ª interior sin ascensor
"Piso en Benito Pérez Galdós, 84, La Caleta - La Viña, Cádiz",1.040€,4,150,Bajo interior con ascensor
"Piso en calle Benito Pérez Galdos, 84, La Caleta - La Viña, Cádiz",1.040€,4,150,Bajo interior con ascensor
"Piso en avenida Periodista Beatriz Cienfuegos, 8, Playa Victoria - Paseo Marítimo, Cádiz",900€,3,70,Planta 8ª exterior con ascensor
"Piso en avenida de la Sanidad Pública, 1, Zona San José - Varela, Cádiz",900€,3,112,Planta 1ª exterior sin ascensor
"Piso en paseo marítimo, 12, Playa Victoria - Paseo Marítimo, Cádiz",1.200€,3,140,Planta 1ª exterior con ascensor
"Piso en paseo marítimo.Cortadua, 1, Playa Victoria - Paseo Marítimo, Cádiz",1.000€,3,90,Planta 7ª exterior con ascensor
"Piso en calle Benito Pérez Galdós, 84, La Caleta - La Viña, Cádiz",1.000€,4,130,Planta 3ª exterior con ascensor
"Piso en Corralón de los Carros, 54, La Caleta - La Viña, Cádiz",1.125€,3,110,Planta 1ª exterior sin ascensor
